episode,reward,avg_loss,epsilon,success,steps
661,19.000,6.79307,0.166,0,50
662,28.000,4.87709,0.165,0,50
663,57.800,6.32468,0.164,1,12
664,58.900,7.39876,0.164,1,26
665,54.200,5.16111,0.163,1,13
666,10.000,4.70014,0.162,0,50
667,19.500,5.74540,0.161,0,50
668,8.500,6.13473,0.159,0,50
669,55.300,5.98094,0.159,1,12
670,67.400,7.57820,0.158,1,46
671,26.500,5.36716,0.156,0,50
672,9.500,6.40131,0.155,0,50
673,59.600,5.05700,0.154,1,29
674,13.500,7.62994,0.153,0,50
675,66.300,6.53570,0.152,1,42
676,17.500,7.50273,0.150,0,50
677,22.000,6.91494,0.149,0,50
678,32.500,8.52460,0.148,0,50
679,33.500,6.78019,0.146,0,50
680,14.500,6.62813,0.145,0,50
681,30.000,4.87613,0.144,0,50
682,6.500,6.29571,0.142,0,50
683,24.000,7.48193,0.141,0,50
684,13.500,6.32710,0.140,0,50
685,75.400,6.71253,0.138,1,46
686,23.000,7.10195,0.137,0,50
687,27.000,5.44085,0.136,0,50
688,10.000,5.27998,0.134,0,50
689,56.200,8.88893,0.134,1,13
690,6.500,5.93670,0.132,0,50
691,62.400,7.19288,0.132,1,21
692,23.000,8.12072,0.131,0,50
693,14.000,5.41608,0.129,0,50
694,24.000,5.90581,0.128,0,50
695,66.100,4.85325,0.127,1,34
696,31.500,5.72164,0.126,0,50
697,66.000,7.40167,0.125,1,35
698,24.500,5.65693,0.123,0,50
699,83.100,6.12614,0.122,1,49
700,53.300,9.28671,0.122,1,12
701,57.500,7.05517,0.121,1,20
702,39.500,4.84433,0.120,0,50
703,19.000,7.25847,0.118,0,50
704,22.500,6.34359,0.117,0,50
705,11.500,6.99916,0.116,0,50
706,32.000,6.38423,0.114,0,50
707,63.800,5.81599,0.113,1,42
708,20.500,6.31248,0.112,0,50
709,18.000,6.29216,0.110,0,50
710,19.000,7.49491,0.109,0,50
711,69.200,6.42595,0.108,1,33
712,22.500,6.34173,0.107,0,50
713,61.700,4.52637,0.106,1,18
714,30.000,6.06875,0.105,0,50
715,52.400,5.82603,0.104,1,36
716,19.000,6.77501,0.103,0,50
717,21.500,4.55388,0.101,0,50
718,31.500,6.88535,0.100,0,50
719,17.500,5.79296,0.099,0,50
720,56.800,5.70782,0.098,1,12
721,66.900,5.54577,0.098,1,26
722,68.000,6.06370,0.096,1,40
723,18.500,7.67606,0.095,0,50
724,54.800,6.17215,0.094,1,37
