episode,reward,avg_loss,epsilon,success,steps
666,59.600,19.14627,0.050,1,19
667,84.000,17.64734,0.050,1,50
668,62.400,22.84003,0.050,1,26
669,51.200,42.24317,0.050,1,3
670,54.300,29.15063,0.050,1,7
671,35.000,24.95773,0.050,0,50
672,62.800,19.35879,0.050,1,17
673,56.200,35.29222,0.050,1,13
674,30.500,26.86666,0.050,0,50
675,53.900,12.96805,0.050,1,6
676,44.100,28.02625,0.050,1,49
677,57.500,21.59613,0.050,1,10
678,32.500,18.04863,0.050,0,50
679,53.000,17.42522,0.050,1,5
680,14.500,23.30325,0.050,0,50
681,31.500,26.12580,0.050,0,50
682,54.300,29.59627,0.050,1,7
683,27.000,25.81303,0.050,0,50
684,79.900,20.95364,0.050,1,36
685,40.500,23.96140,0.050,0,50
686,51.500,21.24284,0.050,1,5
687,30.500,20.11638,0.050,0,50
688,41.000,26.89236,0.050,0,50
689,52.700,20.33973,0.050,1,8
690,64.700,21.47767,0.050,1,43
691,18.000,21.76872,0.050,0,50
692,51.800,20.56804,0.050,1,2
693,18.500,26.02345,0.050,0,50
694,26.000,24.17333,0.050,0,50
695,54.600,29.90714,0.050,1,9
696,40.000,23.11662,0.050,0,50
697,31.000,24.12182,0.050,0,50
698,55.700,21.40776,0.050,1,8
699,54.700,21.83987,0.050,1,8
700,29.500,26.80671,0.050,0,50
701,80.000,21.51597,0.050,1,45
702,58.100,26.03875,0.050,1,14
703,22.000,24.60697,0.050,0,50
704,59.500,22.55724,0.050,1,30
705,55.100,23.82499,0.050,1,9
706,52.100,36.23153,0.050,1,4
707,30.500,21.46283,0.050,0,50
708,52.700,26.75615,0.050,1,8
709,54.900,21.55788,0.050,1,21
710,27.000,24.42922,0.050,0,50
711,26.500,21.84993,0.050,0,50
712,52.800,32.55820,0.050,1,7
713,63.300,16.24433,0.050,1,27
714,55.400,21.48066,0.050,1,6
715,59.100,24.25578,0.050,1,24
716,55.700,23.77923,0.050,1,13
717,59.600,27.34587,0.050,1,14
718,56.900,26.60166,0.050,1,11
719,33.500,25.21342,0.050,0,50
720,31.000,19.35263,0.050,0,50
721,-0.000,20.15072,0.050,0,50
722,30.000,26.99848,0.050,0,50
723,34.500,26.67142,0.050,0,50
724,28.500,21.79677,0.050,0,50
725,75.800,25.68356,0.050,1,37
726,64.500,21.88777,0.050,1,30
727,62.500,21.35177,0.050,1,25
